iter	Logloss
0	0.6809733047
1	0.6691392759
2	0.6585140326
3	0.6480684476
4	0.6353036599
5	0.6257666253
6	0.6176282336
7	0.6087668637
8	0.6008157945
9	0.5916643885
10	0.5831884661
11	0.572835094
12	0.5645097418
13	0.5556828914
14	0.5477718334
15	0.5398380843
16	0.5326649105
17	0.5248598249
18	0.517503372
19	0.5064305823
20	0.500229446
21	0.4940879643
22	0.4892562921
23	0.4840440305
24	0.4772515065
25	0.4718990245
26	0.4650829041
27	0.4605043345
28	0.4539766511
29	0.4491089506
30	0.4439047154
31	0.4398902256
32	0.432825921
33	0.4272397384
34	0.4224179031
35	0.4136409008
36	0.4094465717
37	0.4015101673
38	0.3983726355
39	0.3951342609
40	0.3919495967
41	0.3887103773
42	0.3844570272
43	0.3817580799
44	0.377890992
45	0.3740652732
46	0.3716742857
47	0.3690374675
48	0.3662459151
49	0.3625313587
50	0.3604276011
51	0.3568902588
52	0.3542840375
53	0.3504536718
54	0.348027863
55	0.3460098308
56	0.3429391654
57	0.3393233999
58	0.3365875796
59	0.333755141
60	0.330791142
61	0.3268668435
62	0.3251007673
63	0.3233330618
64	0.3216372919
65	0.3195004934
66	0.3179920762
67	0.3142437547
68	0.3130067259
69	0.3113207627
70	0.3095881801
71	0.3075922355
72	0.3060401259
73	0.3043426964
74	0.3026223345
75	0.300721409
76	0.2986612232
77	0.2972998458
78	0.2943146343
79	0.2924557417
80	0.2898540767
81	0.2884179272
82	0.2870415531
83	0.2858597435
84	0.2843040732
85	0.2833212636
86	0.2814378694
87	0.2797395951
88	0.2784459894
89	0.2772456828
90	0.2762694813
91	0.2749049356
92	0.2737710127
93	0.2728563971
94	0.2708310024
95	0.2700383516
96	0.2680392388
97	0.2658559113
98	0.2651115396
99	0.2643132463
100	0.2634384307
101	0.2623453639
102	0.2616492711
103	0.2608159453
104	0.2600910361
105	0.2594154016
106	0.2583708853
107	0.2569249593
108	0.2560049426
109	0.2553599351
110	0.254776091
111	0.2543674696
112	0.2537664564
113	0.2533848108
114	0.2523363417
115	0.2517443657
116	0.2512163292
117	0.2501419101
118	0.2494428452
119	0.2486438729
120	0.2476121808
121	0.2471418226
122	0.2465445962
123	0.2460802125
124	0.2452414403
125	0.2448051791
126	0.2443166258
127	0.2433911173
128	0.2429802931
129	0.2425729994
130	0.2421372663
131	0.2414012378
132	0.2410382702
133	0.2407286207
134	0.2403201501
135	0.2398687415
136	0.2392102158
137	0.2388487268
