iter	Passed	Remaining
0	2	1095
1	5	1135
2	8	1129
3	11	1115
4	14	1110
5	16	1104
6	19	1122
7	22	1124
8	26	1133
9	29	1151
10	32	1157
11	36	1164
12	39	1172
13	43	1188
14	46	1193
15	49	1198
16	53	1201
17	57	1212
18	60	1222
19	64	1224
20	68	1229
21	71	1231
22	74	1229
23	78	1225
24	81	1221
25	84	1214
26	87	1211
27	90	1206
28	94	1202
29	97	1199
30	100	1194
31	103	1188
32	106	1183
33	109	1178
34	112	1173
35	115	1168
36	118	1163
37	121	1159
38	125	1157
39	128	1156
40	131	1153
41	135	1150
42	138	1148
43	141	1148
44	145	1146
45	148	1146
46	152	1144
47	155	1142
48	159	1140
49	162	1138
50	165	1134
51	169	1134
52	173	1133
53	176	1132
54	180	1130
55	183	1127
56	186	1124
57	189	1120
58	193	1116
59	196	1113
60	199	1109
61	203	1107
62	206	1104
63	209	1100
64	213	1098
65	216	1097
66	220	1094
67	223	1091
68	227	1089
69	230	1086
70	233	1083
71	237	1080
72	240	1077
73	244	1075
74	247	1074
75	251	1071
76	255	1069
77	258	1067
78	262	1068
79	266	1066
80	270	1064
81	273	1061
82	277	1058
83	280	1055
84	283	1051
85	287	1048
86	290	1045
87	294	1043
88	297	1039
89	301	1036
90	304	1033
91	307	1031
92	311	1027
93	314	1024
94	318	1021
95	321	1018
96	325	1015
97	328	1011
98	331	1008
99	335	1005
100	338	1001
101	342	999
102	345	996
103	348	993
104	352	989
105	355	986
106	358	982
107	361	977
108	364	973
109	367	969
110	370	965
111	373	961
112	376	957
113	380	953
114	383	950
115	386	946
116	389	943
117	393	939
118	396	936
119	399	932
120	402	928
121	406	925
122	409	921
123	412	919
124	416	916
125	419	912
126	423	909
127	426	906
128	430	903
129	433	900
130	436	896
131	440	893
132	443	890
133	446	886
134	449	882
135	452	878
136	455	874
137	458	870
138	462	867
139	465	864
140	468	860
141	471	856
142	474	853
143	478	850
144	481	847
145	485	844
146	488	841
147	492	838
148	496	835
149	499	832
150	502	829
151	506	826
152	510	823
153	513	819
154	516	816
155	519	812
156	522	808
157	525	805
158	529	801
159	531	797
160	535	794
161	538	791
162	542	788
163	545	785
164	549	782
165	553	780
166	558	778
167	563	778
168	567	775
169	570	771
170	573	767
171	576	764
172	579	760
173	582	757
174	585	753
175	588	749
176	591	745
177	594	741
178	597	738
179	601	734
180	604	731
181	607	727
182	610	724
183	614	721
184	617	718
185	621	714
186	624	711
187	628	708
188	631	704
189	634	701
190	638	698
191	641	695
192	644	691
193	648	688
194	651	684
195	654	681
196	658	678
197	661	674
198	664	671
199	667	667
200	671	664
201	674	661
202	677	657
203	680	654
204	684	650
205	687	647
206	691	644
207	694	641
208	697	637
209	700	633
210	703	630
211	706	626
212	709	623
213	712	619
214	715	615
215	718	612
216	721	608
217	724	605
218	727	601
219	730	597
220	733	594
221	736	590
222	739	587
223	742	583
224	745	579
225	748	576
226	752	573
227	755	569
228	758	566
229	761	562
230	764	559
231	767	555
232	770	551
233	772	548
234	775	544
235	778	541
236	781	537
237	785	534
238	788	530
239	791	527
240	794	524
241	797	520
242	801	517
243	804	514
244	807	510
245	810	507
246	813	504
247	816	500
248	819	497
249	822	493
250	825	490
251	828	486
252	831	483
253	834	479
254	837	476
255	841	473
256	843	469
257	847	466
258	849	462
259	852	459
260	855	455
261	858	452
262	861	448
263	865	445
264	868	442
265	871	439
266	874	435
267	877	432
268	880	428
269	883	425
270	886	422
271	889	418
272	892	415
273	895	411
274	898	408
275	901	404
276	903	401
277	906	398
278	909	394
279	912	391
280	915	387
281	918	384
282	921	381
283	924	377
284	927	374
285	930	371
286	933	367
287	937	364
288	940	361
289	943	358
290	946	354
291	949	351
292	952	347
293	955	344
294	958	341
295	961	337
296	964	334
297	967	331
298	971	328
299	974	324
300	977	321
301	981	318
302	984	315
303	988	312
304	991	308
305	994	305
306	997	302
307	1000	298
308	1003	295
309	1007	292
310	1009	289
311	1013	285
312	1016	282
313	1019	279
314	1022	275
315	1025	272
316	1028	269
317	1031	265
318	1034	262
319	1037	259
320	1040	256
321	1043	252
322	1046	249
323	1049	246
324	1052	242
325	1055	239
326	1059	236
327	1062	233
328	1065	229
329	1068	226
330	1071	223
331	1074	220
332	1077	216
333	1081	213
334	1084	210
335	1087	207
336	1090	203
337	1093	200
338	1095	197
339	1098	193
340	1101	190
341	1104	187
342	1107	184
343	1110	180
344	1113	177
345	1117	174
346	1120	171
347	1123	167
348	1125	164
349	1128	161
350	1131	158
351	1134	154
352	1138	151
353	1141	148
354	1144	145
355	1147	141
356	1150	138
357	1153	135
358	1156	132
359	1159	128
360	1161	125
361	1164	122
362	1167	119
363	1170	115
364	1173	112
365	1176	109
366	1179	106
367	1182	102
368	1185	99
369	1188	96
370	1191	93
371	1194	89
372	1197	86
373	1200	83
374	1203	80
375	1206	77
376	1209	73
377	1212	70
378	1215	67
379	1218	64
380	1221	60
381	1224	57
382	1227	54
383	1230	51
384	1232	48
385	1235	44
386	1238	41
387	1242	38
388	1245	35
389	1248	32
390	1251	28
391	1254	25
392	1257	22
393	1259	19
394	1262	15
395	1265	12
396	1268	9
397	1271	6
398	1274	3
399	1277	0
